-30 1663.29 -29.9995 -0 -0 -0 0.001, 0.048, 0.999, 206.556, -51.465, 0.000,0.870, 0.492, 0.001, 206.536, -0.492, 0.869, 0.048, -52.312, 0.023, -0.042, 0.999, -17.711, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 34 -205.946 -342.291 -1773.58 -170.854 -178.785 -1666.6 -327.656 -163.672 -1637.4 
-30 1663.29 -29.9995 -0 -0 -0 0.001, 0.048, 0.999, 206.556, -51.465, 0.000,0.870, 0.492, 0.001, 206.536, -0.492, 0.869, 0.048, -52.312, 0.023, -0.042, 0.999, -17.711, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 34 -205.946 -342.291 -1773.58 -170.854 -178.785 -1666.6 -327.656 -163.672 -1637.4 
-26 1663.29 -25.9984 -0.000976562 -0 -0 -0.001, 0.041, 0.999, 180.935, -38.376, 0.000,0.902, 0.432, -0.001, 180.944, -0.431, 0.901, 0.041, -39.021, 0.018, -0.037, 0.999, -15.655, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 40 -202.752 -321.419 -1752.89 -169.311 -150.522 -1657.19 -326.265 -135.035 -1629.05 
-22 1663.29 -21.998 0.000976562 -0 -0 -0.002, 0.035, 0.999, 154.520, -27.196, 0.000,0.930, 0.369, -0.002, 154.540, -0.368, 0.929, 0.035, -27.671, 0.014, -0.032, 0.999, -13.486, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 46 -199.783 -299.17 -1733.78 -168.085 -121.702 -1649.9 -325.18 -105.916 -1622.68 
-18 1663.29 -17.999 -0.000488281 -0 -0 -0.002, 0.030, 1.000, 127.355, -17.851, 0.000,0.953, 0.304, -0.002, 127.379, -0.304, 0.952, 0.030, -18.182, 0.011, -0.027, 1.000, -11.206, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 52 -197.055 -275.583 -1716.19 -167.146 -92.407 -1644.64 -324.393 -76.3867 -1618.32 
-14 1663.29 -13.9979 -0 -0 -0 -0.003, 0.023, 1.000, 99.663, -10.479, 0.000,0.971, 0.238, -0.003, 99.685, -0.238, 0.971, 0.023, -10.683, 0.008, -0.022, 1.000, -8.837, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 23 58 -194.586 -250.877 -1700.44 -166.514 -62.8501 -1641.39 -323.927 -46.6794 -1616.11 
-10 1663.29 -9.99751 -0.000976562 -0 -0 -0.003, 0.017, 1.000, 71.474, -5.069, 0.000,0.985, 0.171, -0.003, 71.490, -0.171, 0.985, 0.017, -5.175, 0.005, -0.016, 1.000, -6.385, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 4 -192.363 -225.051 -1686.34 -166.198 -33.0953 -1640.33 -323.79 -16.8382 -1616.12 
-6 1663.29 -5.99849 0.000488281 -0 0.000223007 -0.002, 0.010, 1.000, 43.030, -1.562, 0.000,0.995, 0.103, -0.002, 43.038, -0.103, 0.995, 0.010, -1.600, 0.003, -0.010, 1.000, -3.861, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 10 -190.418 -198.346 -1674.09 -166.181 -3.39784 -1641.2 -323.945 12.8621 -1618.1 
-2 1663.29 -1.99809 0.000488281 -0 -0 -0.001, 0.003, 1.000, 14.371, -0.041, 0.000,0.999, 0.034, -0.001, 14.373, -0.034, 0.999, 0.003, -0.046, 0.001, -0.003, 1.000, -1.272, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 16 -188.747 -170.807 -1663.66 -166.481 26.2133 -1644.2 -324.415 42.4107 -1622.17 
2 1663.29 2.00162 -0.000488281 -0 -0 0.000, -0.003, 1.000, -14.324, -0.436, 0.000,0.999, -0.034, 0.000, -14.324, 0.034, 0.999, -0.003, -0.440, 0.000, 0.003, 1.000, 1.358, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 22 -187.347 -142.593 -1655.11 -167.08 55.5207 -1649.17 -325.175 71.5706 -1628.25 
6 1663.29 6.00133 0.000488281 -0 -0 0.002, -0.010, 1.000, -42.927, -2.811, 0.000,0.995, -0.103, 0.002, -42.919, 0.103, 0.995, -0.010, -2.849, -0.001, 0.010, 1.000, 4.017, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 28 -186.23 -113.848 -1648.49 -167.983 84.4135 -1656.19 -326.229 100.244 -1636.32 
10 1663.29 10.0017 -0 -0 -0 0.004, -0.016, 1.000, -71.304, -7.147, 0.000,0.985, -0.172, 0.004, -71.277, 0.172, 0.985, -0.016, -7.253, -0.001, 0.016, 1.000, 6.700, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 34 -185.415 -84.7005 -1643.86 -169.187 112.744 -1665.19 -327.574 128.267 -1646.36 
14 1663.29 14.0021 0.000488281 -0 -0 0.007, -0.022, 1.000, -99.316, -13.406, 0.000,0.971, -0.240, 0.007, -99.251, 0.240, 0.971, -0.022, -13.614, -0.001, 0.023, 1.000, 9.384, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 40 -184.888 -55.2956 -1641.24 -170.68 140.36 -1676.09 -329.219 155.516 -1658.33 
18 1663.29 18.0018 -0 -0 -0 0.010, -0.028, 1.000, -126.819, -21.537, 0.000,0.952, -0.307, 0.010, -126.697, 0.307, 0.951, -0.028, -21.877, -0.001, 0.030, 1.000, 12.066, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 46 -184.662 -25.7954 -1640.57 -172.462 167.124 -1688.88 -331.142 181.852 -1672.16 
22 1663.29 22.0002 -0.000488281 -0 -0 0.014, -0.035, 0.999, -153.762, -31.483, 0.000,0.928, -0.372, 0.014, -153.555, 0.372, 0.928, -0.035, -31.994, -0.000, 0.037, 0.999, 14.724, 0.000, 0.000, 0.000, 1.000,  122 6 11 16 24 52 -184.722 3.74873 -1641.91 -174.502 192.959 -1703.41 -333.346 207.17 -1687.81 
