0 82.3188 0.00210571 -39.9956 -0 -0 -0.000, 0.001, 1.000, 0.532, -39.923, 0.000,1.000, -0.000, -0.000, 0.532, 0.000, 1.000, 0.001, -39.922, 0.000, -0.001, 1.000, 0.808, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 12 48 -193.821 -154.14 -1698.53 -172.658 43.5737 -1685.88 -330.669 59.611 -1664.34 
-60 82.3188 0.00210571 -0.000488281 -59.9994 -0.000223007 -0.868, -0.020, 0.496, -36.953, -0.637, 0.000,0.496, -0.023, -0.868, -19.049, 0.013, 1.000, -0.020, -0.232, 0.868, -0.001, 0.496, -10.224, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 12 57 -255.675 -80.7002 -1643.5 -74.8505 0.730642 -1662.85 -138.456 146.886 -1646.5 
-56 82.3188 0.00141907 -0 -55.9986 -0 -0.832, -0.018, 0.555, -31.502, -0.414, 0.000,0.555, -0.022, -0.832, -18.173, 0.013, 1.000, -0.018, -0.123, 0.832, -0.000, 0.555, -8.895, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 3 -254.093 -87.6559 -1644.16 -79.2111 6.18756 -1661.74 -152.773 147.459 -1644.26 
-52 82.3188 0.00210571 0.000488281 -51.9996 -0 -0.791, -0.016, 0.612, -27.187, -0.331, 0.000,0.612, -0.020, -0.791, -17.238, 0.012, 1.000, -0.016, -0.126, 0.791, 0.000, 0.612, -7.699, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 9 -251.955 -94.4866 -1645 -83.9084 11.3955 -1660.7 -167.139 147.048 -1642.12 
-48 82.3188 0.00210571 0.000488281 -47.9988 0.000223007 -0.746, -0.015, 0.666, -23.594, -0.199, 0.000,0.666, -0.019, -0.746, -16.229, 0.012, 1.000, -0.015, -0.050, 0.746, 0.001, 0.666, -6.572, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 15 -249.339 -101.134 -1645.8 -88.9417 16.2468 -1659.58 -181.411 145.647 -1640.11 
-44 82.3188 0.00141907 -0 -43.9998 -0 -0.698, -0.013, 0.716, -20.544, -0.137, 0.000,0.716, -0.018, -0.698, -15.188, 0.012, 1.000, -0.013, -0.036, 0.698, 0.001, 0.716, -5.495, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 21 -246.312 -107.501 -1646.68 -94.3118 20.7541 -1658.52 -195.528 143.291 -1638.14 
-40 82.3188 0.00141907 0.000488281 -39.999 -0 -0.646, -0.012, 0.763, -17.872, -0.079, 0.000,0.763, -0.016, -0.646, -14.051, 0.011, 1.000, -0.012, -0.008, 0.647, 0.002, 0.763, -4.510, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 27 -242.849 -113.654 -1647.68 -99.9522 24.8367 -1657.34 -209.422 139.931 -1636.29 
-36 82.3188 0.00141907 0.000488281 -36 0.000223007 -0.592, -0.011, 0.806, -15.495, -0.005, -0.000,0.806, -0.015, -0.592, -12.841, 0.010, 1.000, -0.011, 0.043, 0.592, 0.003, 0.806, -3.616, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 33 -238.925 -119.579 -1648.65 -105.883 28.5276 -1656.18 -223.12 135.582 -1634.58 
-32 82.3188 0.00141907 0.000976562 -31.9992 -0 -0.534, -0.009, 0.846, -13.350, 0.051, 0.000,0.845, -0.013, -0.534, -11.577, 0.010, 1.000, -0.009, 0.080, 0.534, 0.002, 0.846, -2.808, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 39 -234.599 -125.195 -1649.64 -112.062 31.7858 -1655.07 -236.496 130.255 -1632.91 
-28 82.3188 0.00141907 -0 -27.9984 -0 -0.473, -0.008, 0.881, -11.361, 0.058, 0.000,0.881, -0.012, -0.473, -10.236, 0.009, 1.000, -0.008, 0.076, 0.473, 0.003, 0.881, -2.093, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 45 -229.881 -130.527 -1650.75 -118.474 34.5939 -1653.95 -249.51 124.019 -1631.48 
-24 82.3188 0.00141907 0.000488281 -23.9994 -0 -0.411, -0.007, 0.912, -9.530, 0.095, 0.000,0.912, -0.010, -0.411, -8.858, 0.008, 1.000, -0.007, 0.106, 0.411, 0.003, 0.912, -1.491, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 51 -224.798 -135.5 -1651.88 -125.03 36.945 -1652.77 -262.031 116.89 -1630.08 
-20 82.3188 0.000732422 0.000488281 -19.9986 -0 -0.346, -0.006, 0.938, -7.794, 0.107, 0.000,0.938, -0.008, -0.346, -7.441, 0.006, 1.000, -0.006, 0.113, 0.346, 0.003, 0.938, -0.955, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 13 57 -219.428 -140.085 -1653.06 -131.757 38.8208 -1651.61 -274.058 108.905 -1628.89 
-16 82.3188 0.00141907 -0 -15.9996 -0 -0.279, -0.004, 0.960, -6.146, 0.134, 0.000,0.960, -0.007, -0.279, -5.986, 0.006, 1.000, -0.004, 0.136, 0.279, 0.002, 0.960, -0.548, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 3 -213.656 -144.297 -1654.16 -138.634 40.2201 -1650.55 -285.538 100.028 -1627.71 
-12 82.3188 0.00141907 -0.000488281 -11.9988 -0 -0.211, -0.003, 0.977, -4.559, 0.108, 0.000,0.977, -0.005, -0.211, -4.505, 0.004, 1.000, -0.003, 0.109, 0.211, 0.002, 0.977, -0.249, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 9 -207.631 -148.09 -1655.43 -145.571 41.1352 -1649.44 -296.366 90.4061 -1626.78 
-8 82.3188 0.00210571 0.000488281 -7.9998 -0 -0.142, -0.002, 0.990, -3.007, 0.102, 0.000,0.990, -0.003, -0.142, -3.001, 0.003, 1.000, -0.002, 0.102, 0.142, 0.001, 0.990, -0.039, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 15 -201.344 -151.451 -1656.64 -152.592 41.5546 -1648.38 -306.54 80.0107 -1626.01 
-4 82.3188 0.00141907 0.000488281 -3.99902 -0 -0.073, -0.001, 0.997, -1.497, 0.117, 0.000,0.997, -0.002, -0.073, -1.502, 0.002, 1.000, -0.001, 0.117, 0.073, 0.001, 0.997, 0.067, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 21 -194.895 -154.33 -1657.76 -159.565 41.4748 -1647.39 -315.911 69.0183 -1625.4 
0 82.3188 0.00210571 -0 -0 -0 -0.003, -0.000, 1.000, 0.018, 0.099, 0.000,1.000, -0.000, -0.003, 0.018, 0.000, 1.000, -0.000, 0.099, 0.003, 0.000, 1.000, 0.056, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 27 -188.204 -156.767 -1659 -166.562 40.8979 -1646.39 -324.529 57.3222 -1624.91 
4 82.3188 0.00279236 -0 3.99902 -0 0.067, 0.001, 0.998, 1.544, 0.068, 0.000,0.998, 0.001, 0.067, 1.541, -0.002, 1.000, 0.001, 0.068, -0.067, -0.001, 0.998, -0.050, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 33 -181.378 -158.73 -1660.23 -173.508 39.8218 -1645.44 -332.328 45.0821 -1624.61 
8 82.3188 0.00210571 -0 7.9998 -0 0.137, 0.002, 0.991, 3.072, 0.059, 0.000,0.991, 0.002, 0.137, 3.035, -0.003, 1.000, 0.002, 0.058, -0.137, -0.002, 0.991, -0.273, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 39 -174.412 -160.183 -1661.37 -180.354 38.269 -1644.58 -339.266 32.3157 -1624.46 
12 82.3188 0.00210571 -0.000488281 11.9988 -0 0.206, 0.002, 0.979, 4.650, 0.041, 0.000,0.979, 0.004, 0.206, 4.528, -0.004, 1.000, 0.002, 0.040, -0.206, -0.003, 0.979, -0.579, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 45 -167.401 -161.165 -1662.52 -187.083 36.2299 -1643.73 -345.307 19.1216 -1624.51 
16 82.3188 0.00141907 0.000488281 15.9996 -0 0.274, 0.002, 0.962, 6.285, 0.008, 0.000,0.962, 0.005, 0.274, 6.001, -0.006, 1.000, 0.002, 0.005, -0.274, -0.004, 0.962, -0.995, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 51 -160.336 -161.65 -1663.68 -193.65 33.7168 -1642.94 -350.401 5.55782 -1624.69 
20 82.3188 0.00141907 0.000488281 19.9986 -0 0.341, 0.003, 0.940, 7.979, -0.002, 0.000,0.940, 0.006, 0.341, 7.421, -0.008, 1.000, 0.003, -0.007, -0.341, -0.005, 0.940, -1.537, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 14 57 -153.133 -161.6 -1664.78 -200.087 30.7457 -1642.19 -354.571 -8.47181 -1625.02 
24 82.3188 0.00210571 0.000488281 23.9994 -0 0.406, 0.003, 0.914, 9.773, 0.014, 0.000,0.914, 0.007, 0.406, 8.809, -0.009, 1.000, 0.003, 0.006, -0.406, -0.007, 0.914, -2.169, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 3 -146.015 -161.063 -1665.77 -206.251 27.3293 -1641.52 -357.74 -22.6549 -1625.48 
28 82.3188 0.00210571 -0 27.9984 -0 0.469, 0.004, 0.883, 11.695, -0.052, 0.000,0.883, 0.008, 0.469, 10.162, -0.011, 1.000, 0.004, -0.064, -0.469, -0.008, 0.883, -2.885, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 9 -138.949 -160.034 -1666.82 -212.209 23.487 -1640.98 -359.931 -37.0401 -1626.18 
32 82.3188 0.00210571 -0 31.9992 -0 0.530, 0.004, 0.848, 13.739, -0.046, 0.000,0.848, 0.009, 0.530, 11.440, -0.013, 1.000, 0.004, -0.062, -0.529, -0.010, 0.848, -3.682, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 16 -132.017 -158.506 -1667.77 -217.84 19.2679 -1640.4 -361.123 -51.4348 -1626.99 
36 82.3188 0.00141907 -0 36 -0 0.588, 0.004, 0.809, 15.980, -0.073, 0.000,0.809, 0.009, 0.588, 12.665, -0.014, 1.000, 0.004, -0.095, -0.587, -0.011, 0.809, -4.565, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 22 -125.187 -156.481 -1668.63 -223.197 14.6464 -1639.99 -361.311 -65.9195 -1627.99 
40 82.3188 0.00210571 -0 39.999 -0 0.643, 0.004, 0.766, 18.472, -0.078, 0.000,0.766, 0.009, 0.643, 13.833, -0.015, 1.000, 0.004, -0.106, -0.643, -0.013, 0.766, -5.530, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 28 -118.511 -153.998 -1669.48 -228.219 9.66042 -1639.57 -360.499 -80.3501 -1629.05 
44 82.3188 0.00210571 -0.000976562 43.9998 -0.000223007 0.695, 0.004, 0.719, 21.265, -0.077, 0.000,0.719, 0.009, 0.695, 14.921, -0.017, 1.000, 0.004, -0.112, -0.695, -0.014, 0.719, -6.566, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 34 -112.004 -151.03 -1670.21 -232.916 4.33271 -1639.27 -358.674 -94.7202 -1630.29 
48 82.3188 0.00141907 -0 47.9988 -0 0.743, 0.003, 0.669, 24.462, -0.094, 0.000,0.669, 0.010, 0.743, 15.929, -0.018, 1.000, 0.003, -0.130, -0.743, -0.016, 0.669, -7.682, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 40 -105.749 -147.638 -1670.93 -237.187 -1.27269 -1639.01 -355.889 -108.84 -1631.72 
52 82.3188 0.00141907 0.000488281 51.9996 -0 0.788, 0.003, 0.616, 28.195, -0.116, 0.000,0.616, 0.009, 0.788, 16.854, -0.020, 1.000, 0.003, -0.164, -0.788, -0.017, 0.616, -8.861, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 46 -99.7386 -143.805 -1671.57 -241.076 -7.16352 -1638.88 -352.097 -122.7 -1633.15 
56 82.3188 0.00141907 -0 55.9986 -0 0.829, 0.003, 0.559, 32.707, -0.138, 0.000,0.559, 0.009, 0.829, 17.706, -0.021, 1.000, 0.003, -0.189, -0.829, -0.019, 0.559, -10.111, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 52 -93.9647 -139.548 -1672.14 -244.572 -13.3509 -1638.79 -347.341 -136.344 -1634.79 
60 82.3188 0.00279236 0.000488281 59.9994 -0 0.866, 0.002, 0.500, 38.274, -0.168, 0.000,0.499, 0.009, 0.866, 18.466, -0.022, 1.000, 0.002, -0.219, -0.866, -0.021, 0.500, -11.422, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 15 58 -88.5079 -134.9 -1672.64 -247.612 -19.7563 -1638.8 -341.669 -149.589 -1636.53 
60 82.3188 0.00141907 -0 59.9994 -0 0.866, 0.002, 0.500, 38.273, -0.170, 0.000,0.499, 0.009, 0.866, 18.465, -0.022, 1.000, 0.002, -0.223, -0.866, -0.021, 0.500, -11.421, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 1 -88.5075 -134.897 -1672.64 -247.615 -19.7572 -1638.81 -341.666 -149.593 -1636.53 
56 82.3188 0.00210571 -0.000488281 55.9986 -0 0.829, 0.003, 0.559, 32.777, -0.132, 0.000,0.559, 0.009, 0.829, 17.714, -0.021, 1.000, 0.003, -0.184, -0.829, -0.019, 0.559, -10.145, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 3 -93.9115 -139.531 -1672.14 -244.56 -13.3908 -1638.79 -347.288 -136.426 -1634.79 
52 82.3188 0.00210571 0.000488281 51.9996 -0 0.788, 0.003, 0.616, 28.250, -0.113, 0.000,0.616, 0.009, 0.788, 16.871, -0.020, 1.000, 0.003, -0.162, -0.788, -0.018, 0.616, -8.889, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 6 -99.7081 -143.819 -1671.57 -241.056 -7.19014 -1638.87 -352.067 -122.736 -1633.14 
48 82.3188 0.00141907 0.000488281 47.9988 0.000223007 0.744, 0.003, 0.669, 24.517, -0.094, 0.000,0.669, 0.010, 0.744, 15.947, -0.018, 1.000, 0.003, -0.132, -0.743, -0.016, 0.669, -7.708, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 9 -105.69 -147.624 -1670.94 -237.199 -1.3267 -1639.01 -355.84 -108.947 -1631.7 
44 82.3188 0.00210571 0.000488281 43.9998 -0 0.695, 0.004, 0.719, 21.301, -0.095, 0.000,0.719, 0.009, 0.695, 14.942, -0.017, 1.000, 0.004, -0.131, -0.695, -0.014, 0.719, -6.584, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 12 -111.997 -151.053 -1670.23 -232.896 4.31482 -1639.29 -358.663 -94.7332 -1630.3 
40 82.3188 0.000732422 -0.000488281 39.999 -0.000446015 0.643, 0.004, 0.766, 18.512, -0.090, 0.000,0.766, 0.009, 0.643, 13.853, -0.016, 1.000, 0.004, -0.118, -0.643, -0.013, 0.766, -5.551, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 15 -118.47 -154.002 -1669.51 -228.225 9.6232 -1639.58 -360.481 -80.4321 -1629.06 
36 82.3188 0.000732422 0.000976562 36 -0 0.588, 0.004, 0.809, 16.013, -0.080, 0.000,0.809, 0.009, 0.588, 12.688, -0.014, 1.000, 0.004, -0.102, -0.588, -0.011, 0.809, -4.578, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 18 -125.168 -156.499 -1668.64 -223.196 14.6177 -1640.01 -361.302 -65.9686 -1627.98 
32 82.3188 0.00141907 0.000488281 31.9992 -0 0.530, 0.004, 0.848, 13.776, -0.041, 0.000,0.848, 0.009, 0.530, 11.466, -0.013, 1.000, 0.004, -0.057, -0.530, -0.010, 0.848, -3.697, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 20 -131.983 -158.523 -1667.77 -217.848 19.23 -1640.39 -361.117 -51.5173 -1626.98 
28 82.3188 0.00141907 -0 27.9967 -0 0.469, 0.004, 0.883, 11.741, -0.047, 0.000,0.883, 0.008, 0.469, 10.198, -0.011, 1.000, 0.004, -0.059, -0.469, -0.008, 0.883, -2.903, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 23 -138.909 -160.056 -1666.83 -212.219 23.4349 -1640.96 -359.933 -37.132 -1626.19 
24 82.3188 0.00210571 -0.000488281 23.9977 -0 0.406, 0.004, 0.914, 9.817, -0.002, 0.000,0.914, 0.007, 0.406, 8.845, -0.009, 1.000, 0.004, -0.011, -0.406, -0.007, 0.914, -2.185, 0.000, 0.000, 0.000, 1.000,  122 6 11 18 16 26 -145.976 -161.088 -1665.78 -206.271 27.2826 -1641.56 -357.737 -22.7485 -1625.48 
